Gmt time;Open;High;Low;Close;Volume
2024-12-02;2652.98;2653.32;2621.91;2639.02;223607
2024-12-03;2636.1;2655.63;2634.14;2643.71;210370
2024-12-04;2642.29;2657.16;2632.45;2649.8;214190
2024-12-05;2651.07;2655.56;2623.57;2631.96;201252
2024-12-06;2630.51;2645.68;2612.78;2632.62;204006
2024-12-09;2645.95;2676.44;2627.59;2659.76;223323
2024-12-10;2659.23;2695.59;2658.0;2693.74;204197
2024-12-11;2692.45;2721.23;2675.12;2718.16;341954
2024-12-12;2716.43;2726.23;2675.02;2680.56;370854
2024-12-13;2680.49;2692.78;2645.74;2648.72;344626
2024-12-16;2649.49;2664.32;2643.5;2652.78;232087
2024-12-17;2652.93;2658.6;2633.06;2645.87;264629
2024-12-18;2644.55;2651.74;2583.57;2585.36;246632
2024-12-19;2582.24;2626.45;2582.22;2594.11;277678
2024-12-20;2592.65;2631.85;2589.67;2623.02;253493
2024-12-23;2618.91;2633.25;2608.14;2613.44;219149
2024-12-24;2612.0;2621.49;2610.04;2616.27;145937
2024-12-26;2618.38;2639.18;2613.29;2633.31;171105
2024-12-27;2632.92;2638.37;2611.69;2621.38;188560
2024-12-30;2618.96;2628.2;2596.07;2606.33;194653
2024-12-31;2604.86;2627.63;2602.59;2623.86;183747
2025-01-02;2625.84;2660.53;2621.51;2657.32;256303
2025-01-03;2656.84;2665.19;2636.58;2640.33;220071
2025-01-06;2635.39;2649.48;2614.32;2635.97;258412
2025-01-07;2634.97;2664.39;2632.93;2648.54;238251
2025-01-08;2647.23;2669.96;2645.24;2661.38;225774
2025-01-09;2660.83;2678.26;2655.51;2670.27;159068
2025-01-10;2669.84;2698.0;2663.74;2689.17;205104
2025-01-13;2689.25;2693.27;2656.81;2663.72;202573
2025-01-14;2661.24;2678.12;2659.87;2677.09;190629
2025-01-15;2677.7;2697.47;2669.43;2696.33;184440
2025-01-16;2694.3;2724.74;2689.98;2714.29;199904
2025-01-17;2714.72;2717.3;2698.98;2702.63;189615
2025-01-20;2700.45;2713.8;2689.45;2706.09;160032
2025-01-21;2707.03;2746.07;2702.81;2744.62;221536
2025-01-22;2742.98;2763.45;2741.88;2756.14;196335
2025-01-23;2755.78;2758.95;2735.85;2754.54;209084
2025-01-24;2752.45;2785.97;2752.45;2771.39;215529
2025-01-27;2769.92;2772.57;2730.49;2740.57;247405
2025-01-28;2739.75;2765.09;2734.93;2763.52;192052
2025-01-29;2761.35;2766.23;2744.77;2759.31;191931
2025-01-30;2756.47;2798.55;2756.47;2793.35;190386
2025-01-31;2794.16;2817.2;2791.12;2799.26;209055
2025-02-03;2804.8;2830.57;2772.22;2814.44;252933
2025-02-04;2813.63;2845.41;2807.33;2841.93;225305
2025-02-05;2840.58;2882.4;2839.78;2866.97;211585
2025-02-06;2866.52;2873.27;2834.19;2856.45;207265
2025-02-07;2852.56;2886.77;2852.56;2861.13;198584
2025-02-10;2858.09;2911.71;2854.51;2908.08;188468
2025-02-11;2907.44;2942.59;2881.77;2897.72;225396
2025-02-12;2895.7;2909.24;2864.0;2904.11;194409
2025-02-13;2900.99;2929.47;2900.45;2928.28;179167
2025-02-14;2925.18;2940.05;2876.93;2882.69;210252
2025-02-17;2881.82;2906.37;2878.43;2898.72;132714
2025-02-18;2898.55;2936.92;2892.09;2935.48;141776
2025-02-19;2930.05;2947.03;2918.65;2933.51;169471
2025-02-20;2932.15;2954.92;2924.15;2939.37;168768
2025-02-21;2937.54;2949.8;2916.86;2935.86;166129
2025-02-24;2935.15;2956.17;2921.43;2952.33;173381
2025-02-25;2948.56;2953.58;2888.5;2915.58;197317
2025-02-26;2914.15;2930.18;2890.84;2916.57;160902
2025-02-27;2915.61;2920.8;2867.86;2876.93;199861
2025-02-28;2875.49;2885.07;2832.71;2858.99;204709
